Comment,Designator,Footprint,LCSC Part #
,POWER,CHIP-LED0603,
0R,R3 R4,R0402,
1K,R39,R0402,
1M,R2,R0402,
1N4148SOD-123,D1,SOD-123FL,
1u,C1,C0402K,
3.3K,R7 R8 R9 R11 R12,R0402,
4n7,C2,C0402K,
5.1K,R5 R6,R0402,
10K,R13,R0402,
10u,C20 C21,C0805K,
12p,C14 C15,C0402K,
19-217/GHC-YR1S2/3T,CH0 CH1,CHIP-LED0603,
24MHz,X1,3.2X2.5_KX-7,
100K,R1,R0402,
100n,C3 C4 C5 C6 C7 C8 C9 C10 C11 C16 C17 C18 C19,C0402K,
CAT24C256HU4IGT3,IC2,SON50P300X200X50-9T130X140N,
CRA034RF100RP05Z,RN1 RN2 RN3 RN4,CAT16,
CY7C68013A-56LTXC,IC1,QFN50P800X800X100-57T665,
DNI,R10,R0402,
HX TYPE-C 16PIN,J1,USB-C-16P-2LAYER-PADS,
MIC5504-3.3YM5-TR,IC4,SOT23-5,
MNR14E0APJ104,RN5 RN6,CAT16,
SN74LVC541ARGYR,IC3,QFN50P350X450X100-25T305X205N,
TPB1 27,3V3,B1 27,
TPB1 27,RES,B1 27,
TPB1 27,VBUS,B1 27,
YLED0603B,STATUS,CHIP-LED0603,
