Designator,Mid X,Mid Y,Layer,Rotation
3V3,56.36,44.14,Top,0.0
C1,60.43,41.33,Top,90.0
C2,76.13,45.74,Top,90.0
C3,63.41,37.27,Top,270.0
C4,62.36,37.25,Top,270.0
C5,69.42,38.01,Top,0.0
C6,71.21,39.06,Top,270.0
C7,71.74,45.76,Top,90.0
C8,70.39,49.13,Top,90.0
C9,60.66,44.76,Top,180.0
C10,60.64,47.01,Top,180.0
C11,60.67,45.91,Top,180.0
C14,75.43,42.65,Top,90.0
C15,75.43,40.30,Top,270.0
C16,66.66,53.41,Top,180.0
C17,50.64,52.51,Top,180.0
C18,77.96,40.58,Top,90.0
C19,83.19,41.25,Top,270.0
C20,81.35,43.62,Top,180.0
C21,80.59,38.23,Top,0.0
CH0,23.39,47.70,Top,270.0
CH1,32.23,47.68,Top,270.0
D1,58.60,40.11,Top,90.0
IC1,66.30,42.95,Top,180.0
IC2,65.85,51.55,Top,0.0
IC3,50.65,49.30,Top,0.0
IC4,80.59,40.80,Top,90.0
J1,78.50,49.90,Top,90.0
POWER,82.12,31.38,Top,90.0
R1,60.45,39.10,Top,90.0
R2,77.37,45.78,Top,90.0
R3,73.37,48.27,Top,90.0
R4,72.22,48.26,Top,90.0
R5,76.68,51.70,Top,180.0
R6,76.71,48.35,Top,180.0
R7,63.40,51.56,Top,90.0
R8,68.65,51.63,Top,90.0
R9,69.77,51.59,Top,90.0
R10,62.38,53.17,Top,180.0
R11,43.71,44.89,Top,0.0
R12,43.68,43.75,Top,0.0
R13,76.31,35.67,Top,180.0
R39,83.78,43.60,Top,270.0
RES,56.64,42.14,Top,0.0
RN1,44.30,51.22,Top,270.0
RN2,44.30,47.41,Top,270.0
RN3,55.88,50.67,Top,270.0
RN4,55.88,46.86,Top,270.0
RN5,51.12,43.72,Top,180.0
RN6,47.42,43.72,Top,180.0
STATUS,82.13,33.49,Top,270.0
VBUS,71.32,35.84,Top,0.0
X1,73.27,41.49,Top,270.0
